Q,A
 미세먼지 대책 요구 동의 운동,안전_환경
 현대 기아 자동차 미션 결함 조치 촉구,교통_건축_국토
 사단 사단 명칭변경 반대,외교_통일_국방
 소프트 게임 내 지적재산권 소프트 자산 해당 부당행위,기타
 지역 활 센터 정부 보조금 운영 비 현실,보건복지
 무분별 행성 및 과금 유도 게임 고발,기타
 사이비 종교 처벌 해,기타
 인천공항 면세점 오픈 직원 차량 축소 건,일자리
 나경원 의원 평창올림픽 위원 직 파면,외교_통일_국방
 가지 인권 지대 항공승무원,인권_성평등
 증권사 리포트 계 공매도 처분 대하 규제 관리 시행,경제민주화
 어린이집 영화 추진,보건복지
 켐트레일 중단,안전_환경
 결혼 이민자 부모님 모시,인권_성평등
 공기업 채용 전형 별 점수 공개 의무,일자리
 나경원 올림픽 위원 직위 해제 청원,외교_통일_국방
 나경원 의원 기소 청탁 사건 재 조사,정치개혁
 사이비종교 피해 방지 특별법 제정,인권_성평등
 투견 수 개정안,반려동물
 나경원 딸 성신여대 부정 입학 조사,육아_교육
 보호 소 소장 고발,반려동물
 공중파 및 종편 방송국 대한 조건 부 재 허가 재 승인 금지 청원,문화_예술_체육_언론
 코스닥 악덕 기업 투자 개 절망,경제민주화
 청원,인권_성평등
 층간소음 배려 공동 주택 생활 의무,교통_건축_국토
 국민 청원 나경원 평창올림픽 위원 직 자진 사퇴 촉구,외교_통일_국방
 대국민 사기 국가 주도 강남대 체신 도시 동탄신도시 현실,교통_건축_국토
 상가 임대차보호법 권리금 보호 적용 복불복 입법 취지 무색 케 사법부 특단 조치,경제민주화
 영화 코퍼스크리스티 개봉,문화_예술_체육_언론
 나경원 의원 파면,정치개혁
 입 거짓 정보 발설 제 야당 대표 사기죄 처벌,정치개혁
 나경원 의원 남편 기소 청탁 의혹 다시 수사 시오,정치개혁
 나경원 의원 평창올림픽 위원 직 파면 를,외교_통일_국방
 나경원 의원 수여 청룡 박탈,외교_통일_국방
 나경원 의원 파면,정치개혁
 나경원 의원 평창 올림픽 위원 직 파면,문화_예술_체육_언론
 나경원 유비 조사,정치개혁
 나경원 평창올림픽 위원 파면,문화_예술_체육_언론
 나경원 파면,문화_예술_체육_언론
 나경원 올림픽 위원 자격 파면,외교_통일_국방
 나경원 위원 퇴,정치개혁
 나경원 의원 평창올림픽 위원 직 파면,기타
 문재인 정부 나라 좀 페미니즘 정책 당장 중단 시기 청원,미래
 승강기 위 대책 시급,안전_환경
 헌법 항 말 모든 국민 누구 문재인 대통령 직접 말씀 시오,인권_성평등
 나경원 파면,문화_예술_체육_언론
 어린이집 이용 시간 실화,저출산_고령화대책
 나경원 의원 올림픽 직위 제외,문화_예술_체육_언론
 정렬 전 부장 판사 대한 변협 등록 거부 대한 재심 수,행정
 나경원 한국 국적 박탈,정치개혁
 여명 방과후 코디 강제 경기도 이재정 교육감 고발,일자리
 서울 회생 법원 개인 회생 신청 자만 국민 입 차별 반대,인권_성평등
 또 다른 살인 대형 트럭 사고 방지,안전_환경
 대퇴골 무혈 괴사 장애등급 불가 판정,행정
 사회 복지사 처우 개선 병가 유급 병가,보건복지
 사법부 블랙리스트 의혹 검찰 수사 청원,기타
 여성 혈 낭비 부서 여성가족부 폐지 촉구,인권_성평등
 언론 말 고식 기사 대한 민 사상 책임 물어,문화_예술_체육_언론
 나경원 평창 올림픽 위원 자격 박탈,기타
 나경원 의원 동계 올림핑 직위 파면 요구,정치개혁
 나경원 의원 체육훈장 서훈 취소 청원,문화_예술_체육_언론
 올림픽 개 폐막식 공연 재정,문화_예술_체육_언론
 춘천시 환경 사업 소 노동자,행정
 여성 식 국방 의무 이행 법 제화 청원,외교_통일_국방
 나경원 의원 평창올림픽 위원 직 파면,문화_예술_체육_언론
 막말 나경원,정치개혁
 문재인 정부 재 신임 청문회 요구,정치개혁
 평화 올림픽 나경원 의원 돌입 니 파면 요청,정치개혁
 나경원 파면,외교_통일_국방
 나경원 의원 파면,문화_예술_체육_언론
 나경원 의원 딸 성신여대 부정 입학 관련 수사 촉구,정치개혁
 나경원 평창 동계올림픽 직위 해임 요청,정치개혁
 사학법 법정 부담 금 일정 기간 완납 처벌,육아_교육
 나경원 관련 사학 재단 검찰조사 청원,정치개혁
,외교_통일_국방
 문재인 대통령 하야 청원,정치개혁
 곶감 야근 것 식비 공무원 전원 징계 해고 청원,행정
 불합리 개인 회생 변제 단축 안,기타
 교사 처우 선비 차등 지급,보건복지
 기간 제 교사 호봉 산정 문제점 근무 연수 바로 호봉 재획 정이 개선,행정
 서비스업 정규 휴무 및 영업 시간 단축,보건복지
 편의점 점주 최소한 인간 다운 삶 영위 수 방안 마련,일자리
 사법부 블랙리스트 수사,정치개혁
 자유 한국 홍준표 대표 처벌 촉구,정치개혁
 빙상 연맹 관계자 처벌,문화_예술_체육_언론
 소방 현장 대응 조직 발전 위해 소방 간부 후보 생 제도 폐지 청원,안전_환경
 스텔싱 성폭행 처벌 관 규정 마련 요망,인권_성평등
 금수 저 위 신혼부부 특별 공급 개선 세대 희망,육아_교육
 학교 교실 추첨 게 말,육아_교육
 폐 의약품 물이,안전_환경
 곳 남양주 유기견 보호 소의 아이,반려동물
 사립 유치원 교사 월급 보장 수 법,육아_교육
 평창올림픽 한반도기 독도 추가,문화_예술_체육_언론
 묘 범죄자 법,보건복지
 대통령 국민 빨갱이 음해 정치인 댓글,인권_성평등
 음주운전 뺑소니 살인 범 살인죄 처벌,안전_환경
 입 거짓 정보 발설 제 야당 대표 사기죄 처벌,기타
 홍준표 정치 활동 반대,정치개혁
 홍준표 대표 처벌,정치개혁
 입 거짓말 홍준표 처벌,외교_통일_국방
 나경원 의원 대한민국 국적 박탈,정치개혁
 현대 중공업 하청 근로자,기타
 대형 마트 의무 휴업 폐지,경제민주화
 소방 관련 소방관 처벌,안전_환경
 조선일보 폐간 영진 비리 조사,기타
 친일 신문 조선일보 폐간,문화_예술_체육_언론
 나경원 청룡 서훈 취소,문화_예술_체육_언론
 국민 청원 조직 것 주장 나경원 의원 파면 요청,행정
 김포시 어린이 문화 시설 적극 확충,육아_교육
 빙상 연맹 대한 국감 요청 전면 개편 요구,문화_예술_체육_언론
 빙상 연맹 대한 조사 개혁 요청,문화_예술_체육_언론
 국회의원 기초 의원 무보수 명예 직 전환,정치개혁
 김동진 부장 판사 대한 징계 사면 청원,인권_성평등
 홍준표 의원 거짓말 국민 선동 묵 수 파면 법적 처벌 근거 마련,정치개혁
 복합 쇼핑몰 의무 휴업 진물,일자리
 우울증 등 정신과 진단 시 보험 가입 불이익 해소,보건복지
 내부고발자 공무원 법 위반 징계 래서야,인권_성평등
 노선영 선수 구제 빙상 협회 임원 퇴 출시,문화_예술_체육_언론
 법률 공단 이미지 실 키 불통 독선 직렬 간의 갈등 조장 헌 이사장 사퇴 하라,기타
 대한민국 빙상 연맹 해체,문화_예술_체육_언론
 현대 중공업 근로 도중 사망 곽 태환 산재 처리 부탁,인권_성평등
 올림픽 출전 무산 빙상 연맹 업무 무능력 관련 처벌,문화_예술_체육_언론
 개시 도축,반려동물
 일간베스트 장소 일베 사이트 폐쇄 요청,안전_환경
 노선영 선수 사건 또한 빙상 연맹 모든 적폐 처벌,문화_예술_체육_언론
 빙상 연맹 해체 요구,문화_예술_체육_언론
 초등학교 운동 부 관내 전학 허용,문화_예술_체육_언론
 체육 계열 연맹 협회 부패 척 결빙 연맹 축협 수영 연맹 등,문화_예술_체육_언론
 대한민국 국민 대우,육아_교육
 우리 노선영 선수 평창올림픽 빙산 연맹 조사 이번 사태 책임자,문화_예술_체육_언론
 배달 민족 형제 개인정보 유출 방관 행동 처벌,행정
 병원 인증 평가,행정
 불법체류자 근본 대책 생각,일자리
 빙상 연맹 해체 및 관계자 처벌,문화_예술_체육_언론
 빙상 연맹 해체,문화_예술_체육_언론
 교육 블랙리스트 조사,정치개혁
 개인 회생 변제 기간 단축 지역,행정
 셀트리온 거래소 이전 심사 완료,경제민주화
 소방 문병원 충북 혁신도시,보건복지
 타임스퀘어 고 노무현 대통령 광고 칭찬,인권_성평등
 네일 기술 직 최저임금 예외,일자리
 평창올림픽 직원 쓰레기 식단 개선,인권_성평등
 국회의원 탄핵 파면 절차 마련,정치개혁
 신혼부부 특별 공급 분양 소득 기준 인상 삭제 청원,미래
 춘천 농 수산물 도매 센터 실태 고발 및 길고양이,반려동물
 황반변성 의료 보험 혜택 확대 요청 개정 고시 재 검토 요청,보건복지
 스텔싱 관 법률,인권_성평등
 정시 비율 확대 청원,육아_교육
 대한민국 빙산 연맹 쇄신 방만 경영 비리 척결 및 현 임원진 모두 사퇴 청원,행정
 평창올림픽 한반도기 독도 꼭,외교_통일_국방
 미국 타임스퀘어 노 전 대통령 광고 일베 처벌,인권_성평등
 빙상 연맹 문제 무지,문화_예술_체육_언론
 더 이상 국가대표 노선영 체육 말,문화_예술_체육_언론
 목동 병원 신생아 사망 관련 간호사 피의자 입건 앞서 사실 규명 환자 안전 수 의료 환경 개선 시오,보건복지
 빙상 연맹 감사,문화_예술_체육_언론
 빙상 연맹 적폐 청산 위해 청와대 사법 기관 때,문화_예술_체육_언론
 정시 비율 말 종합 전형 폐지 현역,육아_교육
 고인 능욕 일베 사이트 조사 거짓 뉴스 고인 능욕 관련 전원 체포 및 벌금 거 세금,기타
 빙상 연맹 개혁 처벌,문화_예술_체육_언론
 빙상 연맹 대하 특별 감사 실시,문화_예술_체육_언론
 일베 극우 사이트 폐쇄 처벌 제재 촉구,정치개혁
 미용 업도 근로기준법 적용,일자리
 용산 용팔이 규제,기타
 국민 온 조선일보 조선 폐간,문화_예술_체육_언론
 홍준표 의원 대국민 사기죄 처벌,정치개혁
 판교 임대 무 주택 서민 위해 꼭 답변,교통_건축_국토
 어린이집 평가 인증,육아_교육
 빙상 연맹 개혁,문화_예술_체육_언론
 빙상 연맹 해체 요구,문화_예술_체육_언론
 뉴욕 타임스퀘어 고 노무현 대통령 조롱 일베 유저 처벌,기타
 노선영 선수 대한 빙상 연맹 사과 책임자 징계 요구,문화_예술_체육_언론
 정시 비율,육아_교육
 부동산 중개 수수료 관 법률 다시 제정,교통_건축_국토
 홍준표 거짓 진실,정치개혁
 저출산 대책 발상 전환,저출산_고령화대책
 펫샵 강아지 분양 및 각종 형태 동물 매매 금지,반려동물
 사이트 첨부 무용지물 대책 법 전자발찌 이제,안전_환경
 서울 중앙 지법 영장 전담 판사 인 권 호 오민석 강 부영 교체,정치개혁
 강제 개종 교육 금지법 일명 구지은 법 개설 청원,인권_성평등
 국민 협박 가상 화폐 규제,경제민주화
 회사 직원 자회사 제품 구매 강요 압박,일자리
 차량 공유 빙자 불법 자가용 택시 영업,교통_건축_국토
 재개발 사업 관리 감독 요청,교통_건축_국토
 치과의사 과잉 진료 및 치료 행위 제재 법적 제도 장치 마련,보건복지
 연희 학생 선생님,인권_성평등
 일간베스트 사이트 폐쇄 운영자 처벌 청원,문화_예술_체육_언론
 빙상 연맹 및 스포츠 적폐 청산 통해 일 운동 스포츠,문화_예술_체육_언론
 자동차 면책 금 처리,교통_건축_국토
 빙상 연맹 해체,문화_예술_체육_언론
 일베 뉴욕타임즈 노무현 대통령 욕 한자 처벌,인권_성평등
 자유 한국 탄핵 처벌,정치개혁
 조선일보 폐간,기타
 가짜 뉴스 왜곡 언론 조장 조선일보 조선 폐간,정치개혁
 농어촌 학교,농산어촌
 문재인 강제 북송 청원,정치개혁
 소방관 처우 개선 및 활동 영역,안전_환경
 반려견 안전 관리 대책 철회,반려동물
 소방 안전 관리자 수첩 제도 폐지,안전_환경
 스키 협회 행정 처리 상처 선수,문화_예술_체육_언론
 전남 독서 토론 열차 학교 북한 경유 평화 올림픽 성공 개최,외교_통일_국방
 다음 달 교사 월급 줄 수 어린이집,저출산_고령화대책
 건 보료 자 국민 위해 사용,보건복지
 자유 한국 해산 소속 의원 전원 의원직 박탈 청원,정치개혁
 산업 은행 본부 소방 안전 위험 실태 및 불법 노동 강요 대한 감사 요청,인권_성평등
 동물농장 방영 옥상 방치 개 견 강력 처벌,반려동물
 군사독재 시절 자행 간첩 고문 사건 가해자 처벌,인권_성평등
 규정 취업 준비 생 두 번 토익 관사 정거 위원회 조사,일자리
 가해자 처벌 사관 검사 판사,인권_성평등
 양승태 여상규 황우여 이근안 등 등 범죄자 국회의원 판 검사 권력 쥐 나라 쥐락펴락 일제 앞잡이 더 놈 처벌,정치개혁
 여상규 처벌 하나로 통일 위해 가장 인원 수 곳 통일,정치개혁
 동물농장 여인숙 옥상 백구 황구 방치 학대 여성 처벌 요청,반려동물
 월성 원자력 인접 주민 저 대한민국 국민,안전_환경
 여상규 특별법 제정 청원,정치개혁
 고문 간첩 조작 여상규 처벌,정치개혁
 동물학대 동물보호법 강화,반려동물
 여상규 국회 의원직 박탈,정치개혁
 여상규 국회의원,정치개혁
 여상규 자유 한국 의원직 박탈 요청,정치개혁
 여상규 안강민 임휘윤 정형근 황우여 양승태 처벌,정치개혁
 여상규 조사해 대통령,정치개혁
 동물보호법 더욱 강화 때 백구 황구 방치 여인숙 주인 구속,반려동물
 그것 알고싶다 간첩 조작 사건,정치개혁
 밀양 세종 병원 화재현장 마지막 순간 환자 대피 사망 정형외과 의사 민현식 의사 자로 추대,안전_환경
 고문 가담 공무원 서훈 박탈 국가범죄 시효 폐지,정치개혁
 보육 정책 짜장면,보건복지
 강제 개종 목사 투표 신천지 눈,인권_성평등
 제출 처 설치 관련 긴급 법안 통과 조치 신청서 및 추가 청원 인용 청원,행정
 국가 유공 시민 여러분,보건복지
 보청기 지원 한도 개편,보건복지
 강제 개종 금지법,인권_성평등
 서지현 검사 성추행 법무부 안 검사 처벌,인권_성평등
 평창올림픽 시점 전범 문제 공론 및 사용 제재 건의,인권_성평등
 군사독재 시절 간첩 조작 고문 관련 및 재판 관여 처벌,정치개혁
 상구 황우여 등 간첩 단 관련 처벌 해,인권_성평등
 기자 거짓 정보 더 이상,미래
 날씨 해안 경계 근무 해,외교_통일_국방
 강제 개종 목사,인권_성평등
 대한항공 박창진 사무장 사무장 직 복귀,인권_성평등
 민간 어린이집 부모 부담 금 해,육아_교육
 창원 검 통영 지원 서지현 검사 성추행 사건 조사해 관련 자 처벌,인권_성평등
 한국 장학재단 국가장학금 소득 분위 산정 방식 정상화 청원,육아_교육
 검찰 내 성폭력 조사 성폭력 가해자 파면 요청,인권_성평등
 육아휴직 후 연차 관련 개정 사항 변경,육아_교육
 밀양 세종 병원 화재 희생 명의 의료 진 대해 의사 자로 지정,안전_환경
 가상 화폐 관련 한마디,기타
 노동법 산재 처리 이 진정 누구 위 것,일자리
 종로 여관 방화 사건 피의자 대한 처벌 요구,기타
 상장 주식 주주 요건 관련 세법 개정안 시행 령 철회,경제민주화
 사실 확인,인권_성평등
 여상규 황우여 의원 처벌,인권_성평등
 여상규 국회 의원직 박탈,정치개혁
 여상규 국회의원 파면 처벌,정치개혁
 여상규 파면,미래
 여상규 황우여 즉시 처벌 간첩 조작 사건 당시 회피 사람 꼭 처벌,정치개혁
 여상규 안강민 임휘윤 정형근 황우여 양승태 처벌,정치개혁
 당시 서지현 검사 성추행 사건 범인 처벌 요구,인권_성평등
 여상규 의원 파면,정치개혁
 일간 베스트 사이트 폐쇄 논의,육아_교육
 정시 확대 대입 전형 정시 비중,육아_교육
 여상규 의원 관련 건,미래
 국회의원 연금 폐지 국민연금 통합,정치개혁
 지인 법 재정,인권_성평등
 강제 개종 금지법 제정,인권_성평등
 회피 범 여상규 황우여,정치개혁
 서지현 검사 성추행 사건 조사,기타
 여상규 황우여 책임,인권_성평등
 여상규 후 무치 극치 인간 처벌,정치개혁
 상가 임대차보호법 연장 대한 법 개정 힘,행정
 국회의원 국민소환제 를 제도,정치개혁
 김해 율 하이 기획사 집단 엄벌 요청,기타
 포털 뉴스 못 검색 언론사 경쟁,문화_예술_체육_언론
 서지현 검사 성추행 범 처벌,인권_성평등
 홍대 청소년 클럽,육아_교육
 서지현 검사 성추행 안태 검사 사건 최모 당시 검찰 국장 처벌,인권_성평등
 스포츠 적폐 손연재 대한 검찰 수사 촉구,문화_예술_체육_언론
 서지현 검사 성추행 및 성폭력 대검찰청 공무원 고발,인권_성평등
 화물차 표준 운임 제 시행,경제민주화
 부동산 중개 수수료 이번 바로,교통_건축_국토
 범죄 과실치사 계속 유지 의사 면허 법 개정 청원,보건복지
 강제 개종 교육 조사,인권_성평등
 검사 성추행 사건,인권_성평등
 안태 최교일 수사,외교_통일_국방
 경기 북부 발전 위 특별 기구 구성 청원,미래
 모든 공공기관 성폭행 성추행 성희롱 조사 후 처벌 서지현 검사,인권_성평등
 국회의원 월급 최저 시급,정치개혁
 최저 시급 적용 대상 순위 국회의원 국회의원 나랏일 재 국회의원 개선,정치개혁
 사형제 부활,안전_환경
 내부 고발 보호 법 신설 수 여러분 힘 실어,인권_성평등
 서지현 검사 응원,인권_성평등
 성추행 안태 검사 은폐 당시 이귀남 법무부 장관 최교일 자유 한국 의원 파면 구속,인권_성평등
 부동산 중개 수수료 인하,교통_건축_국토
 소아당뇨 환 수입 의료기기 대한 의료기기 법 완화 요청,보건복지
 검찰 내 성폭력 당시 서교 일 검찰 국장 성추행 당사자 안태 검찰 간부 조사해 엄벌 처,인권_성평등
 검사 성추행 검찰총장 사법 처리,인권_성평등
 서지현 검사,정치개혁
 서지현 검사 성추행 피해 사건,인권_성평등
 안태 의 성추행 사건 조사,인권_성평등
 서지현 검사 성추행 관련 안태 전 검찰 국장 검찰 내 성폭력 피해자 대한 진상 규명 요청,정치개혁
 서지현 검사 성추행 관련 건 조사,인권_성평등
 서지현 검사 세월,인권_성평등
 서지현 검사 성추행 사건 정수사 촉구,인권_성평등
 서지현 검사 성추행 안태 검사 일 당시 최교일 법무부 검찰 국장 입김 좌천 인사 연루 처벌,인권_성평등
 검사 성폭력 피해 처벌,기타
 서지현 검사 성추행 조사,인권_성평등
 인사 불이익 통영 지청 간 서지현 검사 구제,정치개혁
 뉴스룸 서지현 검사 검찰 간부 성추행 충격,인권_성평등
 국회의원 최저 시금 청원 관련,정치개혁
 병무청 서초 주민 센터 사회 복무 요원 자살 방임 책임 회피,행정
 안태 전 검사 성추행 사건 조사,안전_환경
 신혼부부 주택 마련 대출 비현실적 연봉 제한,육아_교육
 통신업 고용 안정 대해,일자리
 서지원 검사 성추행,인권_성평등
 안태,인권_성평등
 어린이집 점심시간 식사 도시 근무시간 포함,육아_교육
 서지현 건사 성추행 검사 조사,인권_성평등
 검사 추행 안태 검사 처벌,인권_성평등
 검사 성추행 정수사 청원,인권_성평등
 검사 성추행,인권_성평등
 서지현 검사 성추행 사건 대한 조사 촉구,기타
 검사 성폭행 사건 가해자 처벌,인권_성평등
 사립 유치원 교사 인권 문제 영유 교사 포함,인권_성평등
 대통령 청원 글 하루 한번 시나,경제민주화
 면역 항암제 제발 급여 적응 증 확대,보건복지
 동물농장 소개 백구 덕 방치 여성 처벌 동물 보호 법 강화,반려동물
 실질 한부모 가정 대해 알,인권_성평등
 평창동계올림픽 자원봉사자 처우 개선,보건복지
 입 랜스 보험 급여 확대,보건복지
 검찰 내 성범죄 특별 수사 팀 구성 수사 청원,안전_환경
 서지연 검사 사건 조사해,인권_성평등
 시절 당한 성폭력 고통 성폭력 처벌 공소 시효 폐지,인권_성평등
 서지현 검사 추문 관련 자 엄벌,인권_성평등
 대우건설 매각 정상화 위해 청원,경제민주화
 재개발 재건축 사업 소수 다수 피해 법률 정이,교통_건축_국토
 지금 국민 청원 강제 개종 목사 처벌 삭제 신천지 처벌,기타
 오영식 의원 코레일 사장 임명,교통_건축_국토
 문재인 정부 첫 호 민원 이자 올해 첫 민원 청와대 포탈 첫 청원 스텔라 데이 지호,외교_통일_국방
 검사 성추행 범,인권_성평등
 최교일 국회의원 검찰 수사 촉구,인권_성평등
 검사 서지현 대한 성폭력 행위자 및 은폐 행위자 처벌 촉구,정치개혁
 개헌 절대로 평등 오직 양성평등 헌법 수호,인권_성평등
 초등학교 교사 등 특수 아동 대한 교육 이수 의무,육아_교육
 주류 담배 구매 때 성년 미성년 본인 확인 구매 처벌,행정
 서지현 검사 대한 성추행 사건 조사 당사자 대한 엄중 처벌 청원 생기지,인권_성평등
 밀양 화재 사고 당직 민현식 씨 의사 자로 지정,안전_환경
 토익 대체 국가 시험 마련,일자리
 부동산 실 거래 신고 기한 이내 변경,교통_건축_국토
 국가 조찬 도회 폐지 청원,행정
 신분당선 이촌역 서빙고역 경유 청원,교통_건축_국토
 쉐보레 미션 보령 미션 불량,교통_건축_국토
 부산 대학교 포함 대학교 기숙사 식권 강매 금지,기타
 밤죄 사실 명예훼손 처벌 조항 삭제,행정
 기업 고정연 근무 것,일자리
 국가 조찬 도회 문재인 대통령 불참 청원,기타
 이번 평창 유감 사태 국민 저항,외교_통일_국방
 서지현 검사 성추행 사건 조사,인권_성평등
 서지현 검사 성추행 안태 검사 사건 최모 당시 검찰 국장 처벌,인권_성평등
 서지현 검사 성추행 관련 가해자 및 사실 은폐 관련 자 처벌,인권_성평등
 성범죄 관련 검사 파면 및 처벌,인권_성평등
 동물보호법,반려동물
 개념 신천지 수사,경제민주화
 워킹맘 위 시간 선택 제 보편화 해,저출산_고령화대책
 서지현 검사 검찰 내 성추행 대한 재 조사 관련 처벌 청원,인권_성평등
 블록 체인 암호 화폐 대한 정부 공식 입장 발표 요청,경제민주화
 안태 전 검사 물리 거세,정치개혁
 어린이집 현실,육아_교육
 이명박 대통령 때 부실 운전면허 제도 바로 시오,안전_환경
 자동차 전용 도로 오토바이 진입 문제,교통_건축_국토
 미혼모 아이 아빠 꼭,육아_교육
 교원임용시험 답 공개,육아_교육
 적폐 청산 돌 여성가족부 폐지 청원,행정
 시 경계 지역 혐오시설 설치 금지 요청,교통_건축_국토
 국회의원 월급 최저 시급 연동제 제안,정치개혁
 국회의원 임금 최저 시급,성장동력
 부산 어린이집 아동학대 관련 엄중 수사 지시,육아_교육
 조계 종단 정치 탄압,정치개혁
 공정위 김상조 위원장 을 눈물 얼마나,경제민주화
 인혁당 사건 과거 국가범죄 대한 사과 보상,기타
 최저 급제 적용 순위 국회의원,정치개혁
 군무원 한국사 능력 검증 대체 인정 조건,기타
 도박 사기꾼 청년,행정
 문재인 정부 비트코인 대북 송금 주장 제기,문화_예술_체육_언론
 개성 공단 재개 시오,외교_통일_국방
 간호사 처우 개선,미래
 집 선생 아기 하이패스,육아_교육
 안산 세월호 분향소 이제 철거,기타
 여성시대 쭉빵 카페 워마드 일간베스트 등 유해 사이트 폐쇄 청원,인권_성평등
 올해 변경 예정 신혼부부 특별 공급 조건 다시 검토,교통_건축_국토
 가상 화폐 관련 국민 정부 관계자 한번,경제민주화
 레진코믹스 대한 정거 위원회 조사,문화_예술_체육_언론
 부산 여중생 폭행 가해자 징역형 처,인권_성평등
 이중국적 법 헌법 위반 결정 구 헌법소원 심판 청구 사건 긍정 판결 청원,기타
 코레일 관광 개발 사장 해임,정치개혁
 세상 위해 충남 인권 조례,인권_성평등
 국회의원 연금 폐지,정치개혁
 강남 지역 분양 상한 제 즉각 시행 로또 아파트 수록 집값 안정,교통_건축_국토
 독립 공화국 입,교통_건축_국토
 신안산선 역사 변경 관 건 시장 역도 림 사거리역,교통_건축_국토
 동의,육아_교육
 민간 어린이집 원장 범법,육아_교육
 어린이집 재정 상황 정검 한번,보건복지
 성추행 공무원 국장 발령 김제시 공무원 인사 적폐 중 적폐 문재인 정부 성공 위해 이제 지역 적폐 하나 하나 청산,정치개혁
 농협 계좌 가상 화폐 거래 동의,미래
 청약 가점 항목 부모님 부양 점수 기존 변경 요청,교통_건축_국토
 비정규직 임금 복지 상여금 등 차별금지법 시행,성장동력
 사실 말 고소 사실 명예훼손 폐지,정치개혁
 오민석 판사 파면 요청,안전_환경
 평창올림픽 자원봉사자 및 대학생 아르바이트생 처우,행정
 장제원 의원 국가원수 음해 및 국격 손상 형사 고발,정치개혁
 추가 예산 즉시 국 공립 어린이집 확충 방법,보건복지
 아이돌 봄 서비스 사업 정상화,저출산_고령화대책
 진상 규명,행정
 군인 위수 지역 확대,외교_통일_국방
 초 중고 학교 페미니즘 교육 의무 반대,인권_성평등
 지하 건축 강요 육군 사단 횡포 규탄,교통_건축_국토
 단독 세대주 디딤돌대출 요건 강화 주택 도시 기금 운용 계획 변경 안 반대,경제민주화
 정형식 판사 대해 이 판결 그 동안 판결 대한 특별 감사 청원,보건복지
 국민연금 손실 삼성 물산 합병 취소 국민 연금 손실 청구 청원,경제민주화
 대한민국 명소 부산 감천 문화 마을,안전_환경
 낚시 대한 부담 금 말 이유,농산어촌
 정형식 판사 파면,기타
 소뇌 위축 증 다계통 위축 증 위 약과 인프라 절실,보건복지
 파일 박스 웹하드 실시간 계속 몰카 리벤지 포르노 돈 벌 왜 제대로 처벌 폐쇄,인권_성평등
 집배원 주 사치 집배원 토요일 쉬,일자리
 이재용 석방 정형식 부장 판사 파면,정치개혁
 정형식 부장 판사 특별 감사 청원 이번 기필코 법원 판사 부조리,기타
 안 미현 검사 압력 행사 권선동 등 특검,기타
 법원장 직선제,정치개혁
 정형식 판사 파면 국민 청원,정치개혁
 농림 축산 부 김영록 장관 해임 청원,행정
 동물보호법,반려동물
 고등학교 학교생활기록부 기재 항목 개선 안 무효 적극 청원,육아_교육
 판검사 퇴직 직후 변호사 개업 금지 법안 청원,정치개혁
 정의 회임 성폭행 증언 뒤 두 자매 아무,인권_성평등
 신도시 택지 지구 입 주민 격 불편 조사 개선,교통_건축_국토
 정형식 판사 조사 및 파면 요청 청원 글 모두 카운터,정치개혁
 정형식 판사,정치개혁
 낚시 인구 관리 정책 조속 시행 촉구,농산어촌
 현대 자동차 세타 엔진 조사,기타
 강용주 보안관찰 처분 면제,인권_성평등
 특정 난치 질환 대한 개정,보건복지
 평창 올림픽 자원봉사자 대우 개선 촉구,문화_예술_체육_언론
 고등학교 학교생활기록부 학생 부 개편안 무효 청원,육아_교육
 통운 택배 노동자 집단 일자리,경제민주화
 정형식 판사 특별 감사 청원 대한 반대 청원,정치개혁
 리턴 연출 동민 를 하차,문화_예술_체육_언론
 말로 정규직 진짜 정규직 공약,일자리
 학생 안전 육교,안전_환경
 경제민주화,경제민주화
 평창올림픽 단복 부착 한반도기 및 독도 관련 문제,외교_통일_국방
 이재용 국민연금 손해 액 전액 배상하,보건복지
 광고 홍보 등 업계 리젝션 피 제도,일자리
 유치원 대학교 수업료 및 등록금 카드 결제 정책 시오,육아_교육
 꼭 텀블러 및 사이버 성범죄 관련 제재 규정 강화 주장,인권_성평등
 권력자 횡포,일자리
 도마 안중근 날 제정 청원,문화_예술_체육_언론
 국회의원 최저 시급 평가 제 도입,정치개혁
 국고 해양수산부 항만 건설 고발,행정
 무미 허가 축사 적 법화 일자리 무미 허가 축사 양성화 일자리 보장,농산어촌
 개발 미명 자연 인생 세간 파괴 박근혜정부 적폐 뉴스 테이 사업 철회 요청,교통_건축_국토
 혈세 물 현대 상선 작태 고발,경제민주화
 남경필 아들 마약 범죄 집행유예 판결 재,정치개혁
 개인 회생 인 가후 사건 대해 지방법원 회생 법원 소급 적용,행정
 늑대 탈 성범죄자 시인 구속,정치개혁
 선생님 교복 해,인권_성평등
 송파구 오금동 동북 지역 주민 오금역 호선 접근성 확보 위 주민 청원 서명 운동,교통_건축_국토
 민간 어린이집 가정 어린이집 삶의질 의미 알,보건복지
 개인정보,행정
 자생 길고양이 보호 소로 안락사 일,안전_환경
 술 취한 청소년 강간 임신 사건 재심사 구합,인권_성평등
 호주 워킹 홀리데이 중인 여동생 마약 미수 구속,외교_통일_국방
 병원 내 감염 슈퍼 박테리아,보건복지
 고속도로 판 스프링 사고 남편 좀,안전_환경
 말기 암 전역 내 아들 전역 후 개월 국가,외교_통일_국방
 중요 국회의원 도 최저 시급 도입,미래
